title,genre,description,review
인터스텔라,SF 드라마,"인류의 생존을 위해 우주로 떠난 아버지가 새로운 행성을 찾아 시간과 차원을 넘나드는 이야기. 웜홀과 블랙홀을 이용한 우주 여행과 부녀간의 감동적인 사랑을 그린다.","웅장한 영상미와 과학적 설정이 인상 깊었고, 부녀의 감동적인 서사에 눈물이 났다는 평이 많음."
어벤져스 엔드게임,액션 SF,"타노스에게 패배한 히어로들이 우주의 절반을 되돌리기 위해 시간여행을 감행하는 마블 히어로들의 대규모 액션 블록버스터.","화려한 액션과 히어로들의 총출동이 압권이라는 평, 팬이라면 무조건 봐야 한다는 반응이 많음."
라라랜드,로맨스 뮤지컬,"배우 지망생과 재즈 피아니스트의 사랑과 꿈을 그린 뮤지컬 영화. 화려한 색감과 음악이 돋보이며 현실적인 결말이 인상적이다.","음악과 색감이 아름답고 여운이 오래 남는다는 평, 현실적인 엔딩이 호불호가 갈린다는 반응도 있음."
기생충,드라마 스릴러,"가난한 가족이 부잣집에 취업하면서 벌어지는 계급 갈등을 그린 블랙코미디이자 스릴러. 반전이 있는 전개와 사회적 메시지가 강렬하다.","반전 전개가 충격적이고 사회 비판적 메시지가 인상 깊다는 평, 봉준호 감독 특유의 연출이 돋보인다는 반응."
러브레터,로맨스 드라마,"첫사랑을 잊지 못한 두 여성이 편지를 주고받으며 과거의 기억을 되찾아가는 잔잔한 감성 멜로 영화.","잔잔하면서도 먹먹한 감동을 주는 첫사랑 영화라는 평, 겨울 배경이 아름답다는 반응이 많음."
곡성,공포 미스터리,"평화롭던 시골 마을에 의문의 살인 사건이 벌어지고 낯선 외지인의 등장 이후 벌어지는 오컬트 미스터리 스릴러.","보는 내내 긴장감이 넘치고 해석의 여지가 많은 오컬트 영화라는 평, 결말이 충격적이라는 반응 다수."
극한직업,코미디 액션,"마약반 형사들이 위장 창업한 치킨집이 대박이 나면서 벌어지는 좌충우돌 코미디 액션 영화.","시종일관 웃긴 대사와 상황극이 일품이라는 평, 가족 단위로 보기 좋은 코미디라는 반응이 많음."
써니,드라마 코미디,"학창시절 친구들이 중년이 되어 다시 뭉치며 추억을 회상하는 청춘 드라마이자 감동 코미디.","추억을 자극하는 음악과 우정 이야기가 감동적이라는 평, 웃음과 눈물을 동시에 준다는 반응."
악마를 보았다,스릴러 범죄,"약혼녀를 잔인하게 살해한 연쇄살인마에게 복수하는 국정원 요원의 잔혹하고 강렬한 복수극.","잔혹한 수위가 높지만 몰입도가 엄청나다는 평, 두 배우의 연기 대결이 압권이라는 반응."
과속스캔들,코미디 드라마,"철없는 아빠에게 갑자기 나타난 딸과 손자로 인해 벌어지는 유쾌하고 따뜻한 가족 코미디.","웃음과 감동을 동시에 잡은 웰메이드 코미디라는 평, 배우들의 케미가 훌륭하다는 반응 다수."
부산행,액션 좀비,"좀비 바이러스가 퍼진 대한민국을 배경으로 부산행 KTX 열차 안에서 생존을 위해 사투를 벌이는 재난 액션 영화.","숨 막히는 긴장감과 빠른 전개가 몰입도를 높인다는 평, 가족애를 다룬 감동 포인트도 있다는 반응."
클래식,로맨스 드라마,"어머니의 옛사랑 이야기와 딸의 현재 사랑이 교차하며 펼쳐지는 세대를 아우르는 순애보 멜로 영화.","순수한 첫사랑의 감성을 자극한다는 평, OST와 영상미가 아름답다는 반응이 많음."
신과함께,판타지 드라마,"죽은 뒤 저승에서 7개의 재판을 거치는 주인공의 이야기를 그린 한국형 판타지 대작. 가족애와 감동적인 서사가 중심이다.","화려한 CG와 감동적인 가족 이야기가 어우러진다는 평, 신파가 강하다는 호불호도 존재함."
살인의 추억,스릴러 범죄,"1980년대 실제 연쇄살인 사건을 모티브로 한 형사들의 추적을 그린 명작 미스터리 스릴러.","봉준호 감독의 연출력이 돋보이는 명작이라는 평, 시대상을 반영한 디테일이 뛰어나다는 반응."
말할 수 없는 비밀,로맨스 판타지,"피아노를 매개로 시간을 초월한 사랑을 나누는 두 남녀의 이야기를 그린 청춘 로맨스 판타지 영화.","음악과 신비로운 설정이 매력적이라는 평, 결말의 반전이 감동적이라는 반응이 많음."
올드보이,스릴러 미스터리,"이유도 모른 채 15년간 감금되었다가 풀려난 남자가 복수를 위해 진실을 파헤치는 강렬한 미스터리 스릴러.","반전과 충격적인 전개가 압도적이라는 평, 박찬욱 감독 특유의 미장센이 뛰어나다는 반응이 많음."
타이타닉,로맨스 재난,"침몰하는 초호화 여객선 타이타닉호 위에서 신분을 뛰어넘은 두 남녀의 비극적이고 애절한 사랑을 그린 대작 멜로 영화.","웅장한 스케일과 절절한 사랑 이야기에 눈물이 난다는 평, OST가 명곡이라는 반응이 많음."
반지의 제왕,판타지 모험,"절대 반지를 파괴하기 위해 떠나는 프로도 일행의 대서사시적인 여정을 그린 판타지 모험 영화.","웅장한 세계관과 스케일이 압도적이라는 평, 캐릭터들의 우정과 성장이 감동적이라는 반응."
그린북,드라마 코미디,"1960년대 미국을 배경으로 흑인 피아니스트와 백인 운전기사가 인종차별을 겪으며 우정을 쌓아가는 실화 기반 감동 드라마.","따뜻한 우정과 시대상을 잘 녹여냈다는 평, 두 배우의 케미가 훌륭하다는 반응이 많음."
조커,드라마 스릴러,"사회에서 소외된 한 남자가 점점 광기에 빠져 조커로 변해가는 과정을 그린 심리 드라마이자 스릴러.","호아킨 피닉스의 압도적인 연기가 인상적이라는 평, 무겁고 어두운 분위기가 여운을 남긴다는 반응."
써머워즈,애니메이션 SF,"가상 세계와 현실이 연결된 세계에서 벌어지는 해킹 사건을 대가족이 힘을 합쳐 해결하는 일본 애니메이션.","가족애와 화려한 가상세계 연출이 인상적이라는 평, 온 가족이 함께 보기 좋다는 반응이 많음."
너의 이름은,애니메이션 로맨스,"몸이 뒤바뀌는 신비한 현상을 겪는 두 남녀 고등학생의 만남과 엇갈림을 그린 감성 애니메이션.","영상미와 음악이 아름답다는 평, 결말의 감동이 오래 남는다는 반응이 많음."
기묘한 가족,코미디 좀비,"좀비에게 물리면 오히려 젊어지는 기묘한 현상을 소재로 한 시골 배경의 코미디 좀비 영화.","독특한 소재와 유쾌한 웃음 포인트가 신선하다는 평, 가벼운 마음으로 보기 좋다는 반응."
암살,액션 시대극,"일제강점기를 배경으로 친일파를 암살하려는 독립군들의 활약을 그린 시대극 액션 영화.","시대적 아픔과 통쾌한 액션이 조화롭다는 평, 배우들의 열연이 돋보인다는 반응이 많음."
